Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
12,M__Amir_Khan__12_,National T-20 2025,31,1,2,16,239,2,120,113,10,117,,,,,,24,21,1,0,2,
12,M__Amir_Khan__12_,National T-20 2025,35,2,2,7,140,7,116,138,7,120,,,,,,24,25,3,0,"4,7,8",
12,M__Amir_Khan__12_,National T-20 2025,37,1,2,4,234,3,120,187,8,120,,,,,,24,50,0,0,,
12,M__Amir_Khan__12_,National T-20 2025,39,1,2,1,110,9,120,111,1,96,0,1,9,YES,,12,12,0,0,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,24,34,2,0,"2,3",
12,M__Amir_Khan__12_,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,0,0,9,YES,,18,43,1,0,1,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,National T-20 2025,25,2,2,17,132,3,79,131,9,120,,,,,,24,23,3,1,"1,3,6",
12,M__Amir_Khan__12_,National T-20 2025,31,1,2,16,239,2,120,113,10,117,,,,,,24,21,1,0,2,
