Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,5
429,Sarwar Afridi Champions,Cup  4 day 2024,,3,,,369,10,111,240,9,89.2,64,130,6,YES,,68,29,2,3,"1,4",
429,Sarwar Afridi Champions,Cup  4 day 2024,31,1,4,1,278,10,92.5,273,10,78.3,0,3,7,YES,,24,11,0,0,0,
429,Sarwar Afridi Champions,Cup  4 day 2024,,3,,,249,10,78.5,259,4,53.4,20,26,6,YES,,66,32,1,3,3,
429,Sarwar Afridi Champions,Cup  4 day 2024,35,1,4,8,431,10,111,293,10,79.2,123,140,5,YES,,30,20,0,0,0,
429,Sarwar Afridi Champions,Cup  4 day 2024,,3,,,256,3,58.5,284,10,97.5,5,10,5,NO,,6,0,0,1,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,1,2,2,3,154,6,114,150,7,120,11,10,6,YES,,12,19,0,0,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,5,2,2,5,132,8,113,128,9,120,18,19,7,NO,,24,28,3,0,"2,3,4",
430,Muhammad Nawaz Champions,Champions T20 cup 2024,7,1,2,1,170,6,120,167,6,120,28,13,7,NO,,6,10,0,0,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,10,1,2,4,163,8,120,169,4,113,5,6,6,YES,,12,27,0,0,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,12,2,2,3,189,7,120,187,7,120,4,3,8,YES,,18,22,1,0,2,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,15,2,2,5,140,2,85,139,8,120,,,,NO,,24,16,0,1,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,17,2,2,1,118,10,111,147,9,120,0,5,7,YES,,6,8,0,0,0,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,19,2,2,4,160,4,81,155,6,120,,,,NO,,18,19,1,0,2,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,21,1,2,3,180,6,120,151,9,120,10,8,6,YES,,12,19,1,0,3,
430,Muhammad Nawaz Champions,Champions T20 cup 2024,22,2,2,1,124,10,115,199,5,120,15,15,8,YES,,18,35,1,0,3,
430,Muhammad Nawaz Champions,National T20  2024,5,1,3,2,104,10,18.3,105,3,13.1,19,21,7,YES,,13,8,0,0,0,
430,Muhammad Nawaz Champions,National T20  2024,15,2,3,1,183,10,116,207,3,120,11,9,5,YES,,24,35,1,0,1,
430,Muhammad Nawaz Champions,National T20  2024,24,1,3,4,218,3,120,127,10,104,59,23,5,NO,,12,12,1,0,1,
430,Muhammad Nawaz Champions,TROPHY 2024,7,2,6,5,267,10,91.4,311,10,83.3,32,75,5,Yes,,144,79,2,5,2,
430,Muhammad Nawaz Champions,TROPHY 2024,,4,,,175,10,61,252,10,67.4,10,19,5,Yes,,54,35,1,0,1,
430,Muhammad Nawaz Champions,TROPHY 2024,17,1,6,2,140,10,42.1,343,10,92.3,29,28,5,Yes,,102,48,2,4,2,
430,Muhammad Nawaz Champions,TROPHY 2024,,3,,,96,10,20.5,,,,32,26,5,Yes,,,,,,,
430,Muhammad Nawaz Champions,TROPHY 2024,20,1,6,3,63,10,23.2,231,10,57,1,5,5,Yes,,6,8,0,0,0,
430,Muhammad Nawaz Champions,TROPHY 2024,,3,,,186,10,50,19,0,2,65,78,5,Yes,,,,,,,
430,Muhammad Nawaz Champions,TROPHY 2024,33,1,6,4,91,10,40.4,196,10,34,0,10,4,Yes,,30,13,0,1,0,
430,Muhammad Nawaz Champions,TROPHY 2024,,3,,,277,10,65.2,175,6,45,21,25,4,Yes,,,,,,,
430,Muhammad Nawaz Champions,TROPHY 2024,37,1,6,1,202,10,58.4,338,10,70.3,22,41,6,Yes,,105,49,2,4,2,
430,Muhammad Nawaz Champions,TROPHY 2024,,3,,,258,10,47.4,126,2,15.5,36,28,7,Yes,,11,16,0,0,0,
431,Saad Masood,Champions T20 cup 2024,1,2,2,3,154,6,114,150,7,120,26,16,8,NO,,18,20,2,0,"4,8",
431,Saad Masood,Champions T20 cup 2024,5,2,2,5,132,8,113,128,9,120,9,8,8,YES,,24,22,0,0,0,
431,Saad Masood,Champions T20 cup 2024,7,1,2,1,170,6,120,167,6,120,2,2,8,NO,,18,23,0,0,0,
431,Saad Masood,Champions T20 cup 2024,10,1,2,4,163,8,120,169,4,113,63,39,8,NO,,17,30,1,0,5,
431,Saad Masood,Champions T20 cup 2024,12,2,2,3,189,7,120,187,7,120,9,4,7,NO,,12,10,0,0,0,
431,Saad Masood,Champions T20 cup 2024,15,2,2,5,140,2,85,139,8,120,,,,,,18,24,0,0,0,
431,Saad Masood,Champions T20 cup 2024,17,2,2,1,118,10,111,147,9,120,38,29,8,YES,,,,,,,
431,Saad Masood,Champions T20 cup 2024,19,2,2,4,160,4,81,155,6,120,,,,,,12,19,1,0,1,
431,Saad Masood,Champions T20 cup 2024,21,1,2,3,180,6,120,151,9,120,10,3,8,NO,,6,20,0,0,0,
431,Saad Masood,Champions T20 cup 2024,22,2,2,1,124,10,115,199,5,120,0,2,6,YES,,,,,,,
431,Saad Masood,National T20  2024,5,1,3,2,104,10,18.3,105,3,13.1,2,3,6,YES,,12,13,1,0,4,
431,Saad Masood,National T20  2024,15,2,3,1,183,10,116,207,3,120,3,5,7,YES,,24,32,1,0,2,
431,Saad Masood,National T20  2024,24,1,3,4,218,3,120,127,10,104,,,,,,24,33,2,0,"5,10",
431,Saad Masood,Cup  One day 2024,17,1,2,3,333,6,300,259,10,273,44,27,8,NO,,42,1,1,7,,
431,Saad Masood,Cup  One day 2024,19,1,2,1,165,10,225,169,3,262,12,15,7,YES,,60,0,1,0,,
432,Ahmed Khan,National T20 Cup 2024,5,2,2,3,105,3,79,104,10,111,,,,,,6,16,0,0,0,
432,Ahmed Khan,National T20 Cup 2024,20,2,2,1,135,2,99,134,10,118,,,,,,,,,,,
