Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Hussain Talat,9,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,101,50,4,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,51,36,5,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,9,7,5,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,57,34,4,No,0,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,32,25,4,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,43,29,6,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,6,8,6,YES,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,11,9,5,YES,6,No,12,16,3,0,"8,10,11",No
Hussain Talat,9,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,9,9,4,YES,2,No,1,0,1,0,10,No
Hussain Talat,9,PSL X,2,2,5,1,136,10,96,216,3,120,35,19,5,Yes,2,No,1,8,0,0,0,No
Hussain Talat,9,PSL X,5,2,5,3,141,10,112,243,5,120,13,11,6,Yes,2,No,18,39,2,0,"4,5",No
Hussain Talat,9,PSL X,9,1,5,6,227,7,120,107,10,100,37,29,5,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,PSL X,11,1,5,2,147,8,120,148,8,117,18,16,5,Yes,2,No,3,9,0,0,0,No
Hussain Talat,9,PSL X,14,2,5,4,133,3,99,129,10,116,51,37,5,No,0,No,14,18,2,0,"6,7",No
Hussain Talat,9,PSL X,17,2,5,1,114,10,92,178,7,120,39,34,5,Yes,2,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,PSL X,22,2,5,3,147,4,100,143,9,120,DNB,DNB,DNB,DNB,5,No,12,14,1,0,10,No
Hussain Talat,9,PSL X,25,2,5,6,110,3,78,108,10,115,DNB,DNB,DNB,DNB,5,No,DNB,DNB,DNB,DNB,DNB,No
Hussain Talat,9,PSL X,27,2,5,2,214,5,120,237,4,120,12,6,7,No,0,No,18,34,0,0,0,No
Taimoor Khan,10,National T20,5,1,3,2,104,10,111,105,7,79,23,15,5,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,National T20,15,2,3,1,183,10,116,207,3,120,15,9,6,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,3,2,5,No,0,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,14,6,7,No,0,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,DNB,DNB,DNB,DNB,5,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,DNB,DNB,DNB,DNB,5,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,3,4,7,YES,3,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,20,18,7,YES,2,YES,DNB,DNB,DNB,DNB,DNB,No
Taimoor Khan,10,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,4,3,6,No,0,YES,DNB,DNB,DNB,DNB,DNB,No
Ubaid Shah,11,National T20,3,1,7,2,181,3,120,182,2,112,DNB,DNB,DNB,DNB,5,No,22,57,1,0,3,YES
Ubaid Shah,11,National T20,12,1,7,18,215,4,120,81,10,107,DNB,DNB,DNB,DNB,5,No,12,12,1,0,3,YES
Ubaid Shah,11,National T20,27,2,7,17,88,0,53,86,8,120,DNB,DNB,DNB,DNB,5,No,24,8,1,0,5,YES
Ubaid Shah,11,National T20,30,1,7,9,146,9,120,138,9,120,2,11,10,YES,2,No,24,27,3,0,"1,5,6",YES
Ubaid Shah,11,National T20,33,1,7,4,130,5,120,131,4,107,DNB,DNB,DNB,DNB,5,No,18,25,1,0,5,YES
Ubaid Shah,11,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,4,4,8,No,0,No,24,42,0,0,0,YES
Ubaid Shah,11,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,DNB,DNB,DNB,DNB,5,No,24,37,1,0,10,YES
Ubaid Shah,11,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,DNB,DNB,DNB,DNB,5,No,24,38,0,0,0,YES
Ubaid Shah,11,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,17,6,8,YES,2,No,18,27,0,0,0,YES
Ubaid Shah,11,PSL X,7,2,6,3,155,10,112,202,6,120,0,2,11,No,0,No,24,37,0,1,3,YES
Ubaid Shah,11,PSL X,9,2,6,5,107,10,95,227,7,120,3,9,10,No,0,No,24,40,0,2,"4,7",YES
Ubaid Shah,11,PSL X,12,1,6,4,228,5,120,195,9,120,DNB,DNB,DNB,DNB,5,No,24,37,0,3,"1,4,5",YES
Ubaid Shah,11,PSL X,13,1,6,3,168,5,120,171,3,103,DNB,DNB,DNB,DNB,5,No,19,31,0,1,1,YES
Ubaid Shah,11,PSL X,16,1,6,4,185,3,120,186,5,114,DNB,DNB,DNB,DNB,5,No,24,34,0,2,"3,5",YES
Ubaid Shah,11,PSL X,18,1,6,1,89,10,102,90,0,41,1,3,11,No,0,No,6,17,0,0,0,YES
Ubaid Shah,11,PSL X,20,2,6,2,117,10,97,204,4,120,14,10,11,YES,2,No,24,49,0,2,"1,4",YES
